cod_ibge,nome_mun,nome_uf,cod_uf,uf
110001,Alta Floresta D'Oeste,Rondônia,11,RO
110002,Ariquemes,Rondônia,11,RO
110003,Cabixi,Rondônia,11,RO
110004,Cacoal,Rondônia,11,RO
110005,Cerejeiras,Rondônia,11,RO
110006,Colorado do Oeste,Rondônia,11,RO
110007,Corumbiara,Rondônia,11,RO
110008,Costa Marques,Rondônia,11,RO
110009,Espigão D'Oeste,Rondônia,11,RO
110010,Guajará-Mirim,Rondônia,11,RO
110011,Jaru,Rondônia,11,RO
110012,Ji-Paraná,Rondônia,11,RO
110013,Machadinho D'Oeste,Rondônia,11,RO
110014,Nova Brasilândia D'Oeste,Rondônia,11,RO
110015,Ouro Preto do Oeste,Rondônia,11,RO
110018,Pimenta Bueno,Rondônia,11,RO
110020,Porto Velho,Rondônia,11,RO
110025,Presidente Médici,Rondônia,11,RO
110026,Rio Crespo,Rondônia,11,RO
110028,Rolim de Moura,Rondônia,11,RO
110029,Santa Luzia D'Oeste,Rondônia,11,RO
110030,Vilhena,Rondônia,11,RO
110032,São Miguel do Guaporé,Rondônia,11,RO
110033,Nova Mamoré,Rondônia,11,RO
110034,Alvorada D'Oeste,Rondônia,11,RO
110037,Alto Alegre dos Parecis,Rondônia,11,RO
110040,Alto Paraíso,Rondônia,11,RO
110045,Buritis,Rondônia,11,RO
110050,Novo Horizonte do Oeste,Rondônia,11,RO
110060,Cacaulândia,Rondônia,11,RO
110070,Campo Novo de Rondônia,Rondônia,11,RO
110080,Candeias do Jamari,Rondônia,11,RO
110090,Castanheiras,Rondônia,11,RO
110092,Chupinguaia,Rondônia,11,RO
110094,Cujubim,Rondônia,11,RO
110100,Governador Jorge Teixeira,Rondônia,11,RO
110110,Itapuã do Oeste,Rondônia,11,RO
110120,Ministro Andreazza,Rondônia,11,RO
110130,Mirante da Serra,Rondônia,11,RO
110140,Monte Negro,Rondônia,11,RO
110143,Nova União,Rondônia,11,RO
110145,Parecis,Rondônia,11,RO
110146,Pimenteiras do Oeste,Rondônia,11,RO
110147,Primavera de Rondônia,Rondônia,11,RO
110148,São Felipe D'Oeste,Rondônia,11,RO
110149,São Francisco do Guaporé,Rondônia,11,RO
110150,Seringueiras,Rondônia,11,RO
110155,Teixeirópolis,Rondônia,11,RO
110160,Theobroma,Rondônia,11,RO
110170,Urupá,Rondônia,11,RO
110175,Vale do Anari,Rondônia,11,RO
110180,Vale do Paraíso,Rondônia,11,RO
120001,Acrelândia,Acre,12,AC
120005,Assis Brasil,Acre,12,AC
120010,Brasiléia,Acre,12,AC
120013,Bujari,Acre,12,AC
120017,Capixaba,Acre,12,AC
120020,Cruzeiro do Sul,Acre,12,AC
120025,Epitaciolândia,Acre,12,AC
120030,Feijó,Acre,12,AC
120032,Jordão,Acre,12,AC
120033,Mâncio Lima,Acre,12,AC
120034,Manoel Urbano,Acre,12,AC
120035,Marechal Thaumaturgo,Acre,12,AC
120038,Plácido de Castro,Acre,12,AC
120039,Porto Walter,Acre,12,AC
120040,Rio Branco,Acre,12,AC
120042,Rodrigues Alves,Acre,12,AC
120043,Santa Rosa do Purus,Acre,12,AC
120045,Senador Guiomard,Acre,12,AC
120050,Sena Madureira,Acre,12,AC
120060,Tarauacá,Acre,12,AC
120070,Xapuri,Acre,12,AC
120080,Porto Acre,Acre,12,AC
130002,Alvarães,Amazonas,13,AM
130006,Amaturá,Amazonas,13,AM
130008,Anamã,Amazonas,13,AM
130010,Anori,Amazonas,13,AM
130014,Apuí,Amazonas,13,AM
130020,Atalaia do Norte,Amazonas,13,AM
130030,Autazes,Amazonas,13,AM
130040,Barcelos,Amazonas,13,AM
