cod_uf,nome_uf,cod_mun,nome_mun,sigla_uf
12,Acre,120001,Acrelândia,AC
12,Acre,120005,Assis Brasil,AC
12,Acre,120010,Brasiléia,AC
12,Acre,120013,Bujari,AC
12,Acre,120017,Capixaba,AC
12,Acre,120020,Cruzeiro do Sul,AC
12,Acre,120025,Epitaciolândia,AC
12,Acre,120030,Feijó,AC
12,Acre,120032,Jordão,AC
12,Acre,120033,Mâncio Lima,AC
12,Acre,120034,Manoel Urbano,AC
12,Acre,120035,Marechal Thaumaturgo,AC
12,Acre,120038,Plácido de Castro,AC
12,Acre,120080,Porto Acre,AC
12,Acre,120039,Porto Walter,AC
12,Acre,120040,Rio Branco,AC
12,Acre,120042,Rodrigues Alves,AC
12,Acre,120043,Santa Rosa do Purus,AC
12,Acre,120050,Sena Madureira,AC
12,Acre,120045,Senador Guiomard,AC
12,Acre,120060,Tarauacá,AC
12,Acre,120070,Xapuri,AC
27,Alagoas,270010,Água Branca,AL
27,Alagoas,270020,Anadia,AL
27,Alagoas,270030,Arapiraca,AL
27,Alagoas,270040,Atalaia,AL
27,Alagoas,270050,Barra de Santo Antônio,AL
27,Alagoas,270060,Barra de São Miguel,AL
27,Alagoas,270070,Batalha,AL
27,Alagoas,270080,Belém,AL
27,Alagoas,270090,Belo Monte,AL
27,Alagoas,270100,Boca da Mata,AL
27,Alagoas,270110,Branquinha,AL
27,Alagoas,270120,Cacimbinhas,AL
27,Alagoas,270130,Cajueiro,AL
27,Alagoas,270135,Campestre,AL
27,Alagoas,270140,Campo Alegre,AL
27,Alagoas,270160,Canapi,AL
27,Alagoas,270170,Capela,AL
27,Alagoas,270180,Carneiros,AL
27,Alagoas,270190,Chã Preta,AL
27,Alagoas,270200,Coité do Nóia,AL
27,Alagoas,270210,Colônia Leopoldina,AL
27,Alagoas,270220,Coqueiro Seco,AL
27,Alagoas,270230,Coruripe,AL
27,Alagoas,270235,Craíbas,AL
27,Alagoas,270240,Delmiro Gouveia,AL
27,Alagoas,270250,Dois Riachos,AL
27,Alagoas,270255,Estrela de Alagoas,AL
27,Alagoas,270260,Feira Grande,AL
27,Alagoas,270270,Feliz Deserto,AL
27,Alagoas,270280,Flexeiras,AL
27,Alagoas,270290,Girau do Ponciano,AL
27,Alagoas,270300,Ibateguara,AL
